"region","year","sex","country","number"
"AT13","2018","FEMALE","COL",621
"AT13","2018","FEMALE","CRI",49
"AT13","2018","FEMALE","CUB",271
"AT13","2018","FEMALE","DOM",368
"AT13","2018","FEMALE","ECU",203
"AT13","2018","FEMALE","GTM",67
"AT13","2018","FEMALE","HND",25
"AT13","2018","FEMALE","HTI",23
"AT13","2018","FEMALE","MEX",545
"AT13","2018","FEMALE","NIC",71
"AT13","2018","FEMALE","PAN",9
"AT13","2018","FEMALE","PER",588
"AT13","2018","FEMALE","PRY",57
"AT13","2018","FEMALE","SLV",39
"AT13","2018","FEMALE","URY",73
"AT13","2018","FEMALE","VEN",366
"AT13","2019","MALE","ARG",404
"AT13","2019","MALE","BOL",130
"AT13","2019","MALE","BRA",843
"AT13","2019","MALE","CHL",407
"AT13","2019","MALE","COL",529
"AT13","2019","MALE","CRI",37
"AT13","2019","MALE","CUB",207
"AT13","2019","MALE","DOM",231
"AT13","2019","MALE","ECU",174
"AT13","2019","MALE","GTM",100
"AT13","2019","MALE","HND",23
"AT13","2019","MALE","HTI",23
"AT13","2019","MALE","MEX",430
"AT13","2019","MALE","NIC",50
"AT13","2019","MALE","PAN",12
"AT13","2019","MALE","PER",349
"AT13","2019","MALE","PRY",36
"AT13","2019","MALE","SLV",21
"AT13","2019","MALE","URY",71
"AT13","2019","MALE","VEN",287
"AT13","2019","FEMALE","ARG",365
"AT13","2019","FEMALE","BOL",156
"AT13","2019","FEMALE","BRA",1303
"AT13","2019","FEMALE","CHL",402
"AT13","2019","FEMALE","COL",655
"AT13","2019","FEMALE","CRI",48
"AT13","2019","FEMALE","CUB",272
"AT13","2019","FEMALE","DOM",374
"AT13","2019","FEMALE","ECU",212
"AT13","2019","FEMALE","GTM",74
"AT13","2019","FEMALE","HND",32
"AT13","2019","FEMALE","HTI",23
"AT13","2019","FEMALE","MEX",548
"AT13","2019","FEMALE","NIC",74
"AT13","2019","FEMALE","PAN",8
"AT13","2019","FEMALE","PER",603
"AT13","2019","FEMALE","PRY",55
"AT13","2019","FEMALE","SLV",39
"AT13","2019","FEMALE","URY",77
"AT13","2019","FEMALE","VEN",375
"AT13","2020","MALE","ARG",429
"AT13","2020","MALE","BOL",133
"AT13","2020","MALE","BRA",922
"AT13","2020","MALE","CHL",412
"AT13","2020","MALE","COL",570
"AT13","2020","MALE","CRI",41
"AT13","2020","MALE","CUB",228
"AT13","2020","MALE","DOM",234
"AT13","2020","MALE","ECU",167
"AT13","2020","MALE","GTM",103
"AT13","2020","MALE","HND",27
"AT13","2020","MALE","HTI",21
"AT13","2020","MALE","MEX",475
"AT13","2020","MALE","NIC",44
"AT13","2020","MALE","PAN",12
